Label,Euclidean,Poincare,Ratio_P/E,Poincare_Norm
logica_abstract,6.714991,3.910574,0.582,0.4621
logica_agriculture_de,6.339947,3.736121,0.589,0.4621
logica_agriculture_en,6.133899,3.614791,0.589,0.4621
logica_agriculture_ja,7.176284,4.243805,0.591,0.4621
logica_agriculture_zh,6.311531,3.720511,0.589,0.4621
logica_astronomy_de,5.394289,3.146059,0.583,0.4621
logica_astronomy_en,5.55401,3.243767,0.584,0.4621
logica_astronomy_ja,8.744827,5.206105,0.595,0.4621
logica_astronomy_zh,6.566745,3.873917,0.59,0.4621
logica_chemistry_de,6.584899,3.879962,0.589,0.4621
logica_chemistry_en,5.963046,3.495149,0.586,0.4621
logica_chemistry_ja,8.921114,5.302212,0.594,0.4621
logica_chemistry_zh,7.904485,4.687955,0.593,0.4621
logica_ecology_de,6.371331,3.760425,0.59,0.4621
logica_ecology_en,5.780715,3.381792,0.585,0.4621
logica_ecology_ja,7.231225,4.277527,0.592,0.4621
logica_ecology_zh,6.167695,3.613199,0.586,0.4621
logica_education_de,5.835755,3.421363,0.586,0.4621
logica_education_en,7.000125,4.13434,0.591,0.4621
logica_education_ja,8.135291,4.832163,0.594,0.4621
logica_education_zh,7.903445,4.692542,0.594,0.4621
logica_energy_de,5.956635,3.500453,0.588,0.4621
logica_energy_en,6.644836,3.908781,0.588,0.4621
logica_energy_ja,8.544917,5.076371,0.594,0.4621
logica_energy_zh,7.010526,4.140924,0.591,0.4621
logica_finance_de,7.642688,4.535602,0.593,0.4621
logica_finance_en,6.147871,3.604518,0.586,0.4621
logica_finance_ja,9.623734,5.730218,0.595,0.4621
logica_finance_zh,7.80008,4.620535,0.592,0.4621
logica_healthcare_de,6.62692,3.906698,0.59,0.4621
logica_healthcare_en,6.12461,3.592728,0.587,0.4621
logica_healthcare_ja,8.556417,5.089715,0.595,0.4621
logica_healthcare_zh,8.013596,4.756873,0.594,0.4621
logica_history_de,5.69258,3.336733,0.586,0.4621
logica_history_en,5.415105,3.156355,0.583,0.4621
logica_history_ja,7.49063,4.431893,0.592,0.4621
logica_history_zh,6.257317,3.677175,0.588,0.4621
logica_law_de,6.782893,4.009809,0.591,0.4621
logica_law_en,5.708749,3.334359,0.584,0.4621
logica_law_ja,8.139036,4.828282,0.593,0.4621
logica_law_zh,7.235495,4.264744,0.589,0.4621
logica_manufacturing_de,6.566321,3.88209,0.591,0.4621
logica_manufacturing_en,6.200448,3.642794,0.588,0.4621
logica_manufacturing_ja,7.866863,4.670961,0.594,0.4621
logica_manufacturing_zh,7.033198,4.158591,0.591,0.4621
logica_marketing_de,5.825926,3.419428,0.587,0.4621
logica_marketing_en,6.846028,4.033656,0.589,0.4621
logica_marketing_ja,8.848729,5.266535,0.595,0.4621
logica_marketing_zh,8.152482,4.841389,0.594,0.4621
logica_network_security_de,7.090244,4.177855,0.589,0.4621
logica_network_security_en,7.229642,4.257687,0.589,0.4621
logica_network_security_ja,9.179769,5.452362,0.594,0.4621
logica_network_security_zh,7.618587,4.505593,0.591,0.4621
logica_politics_de,6.283462,3.70505,0.59,0.4621
logica_politics_en,6.159411,3.621202,0.588,0.4621
logica_politics_ja,10.19431,6.086351,0.597,0.4621
logica_politics_zh,7.733064,4.580913,0.592,0.4621
logica_psychology_de,6.749125,3.987769,0.591,0.4621
logica_psychology_en,7.421252,4.396692,0.592,0.4621
logica_psychology_ja,8.940302,5.318978,0.595,0.4621
logica_psychology_zh,8.24688,4.902162,0.594,0.4621
logica_robotics_de,7.49593,4.444724,0.593,0.4621
logica_robotics_en,6.709747,3.939759,0.587,0.4621
logica_robotics_ja,8.331969,4.945445,0.594,0.4621
logica_robotics_zh,8.906443,5.29577,0.595,0.4621
logica_software_de,6.232382,3.668923,0.589,0.4621
logica_software_en,7.565956,4.482153,0.592,0.4621
logica_software_ja,7.765955,4.608584,0.593,0.4621
logica_software_zh,7.723767,4.573868,0.592,0.4621
logica_sports_de,5.902569,3.462981,0.587,0.4621
logica_sports_en,6.567566,3.867601,0.589,0.4621
logica_sports_ja,8.351287,4.963726,0.594,0.4621
logica_sports_zh,6.395906,3.761308,0.588,0.4621
logica_transport_de,6.718329,3.967689,0.591,0.4621
logica_transport_en,6.11321,3.577771,0.585,0.4621
logica_transport_ja,7.795579,4.611469,0.592,0.4621
logica_transport_zh,6.970212,4.116707,0.591,0.4621
logica_weather_de,7.563939,4.486359,0.593,0.4621
logica_weather_en,6.608802,3.889799,0.589,0.4621
logica_weather_ja,7.393846,4.368854,0.591,0.4621
logica_weather_zh,7.22237,4.266146,0.591,0.4621
logicb_abstract,5.231925,2.991417,0.572,0.4621
logicb_agriculture_de,6.470076,3.819655,0.59,0.4621
logicb_agriculture_en,5.892697,3.456459,0.587,0.4621
logicb_agriculture_ja,8.341407,4.957554,0.594,0.4621
logicb_agriculture_zh,6.537603,3.853711,0.589,0.4621
logicb_astronomy_de,6.832281,4.042889,0.592,0.4621
logicb_astronomy_en,5.846365,3.436047,0.588,0.4621
logicb_astronomy_ja,7.539056,4.464435,0.592,0.4621
logicb_astronomy_zh,5.800228,3.407433,0.587,0.4621
logicb_chemistry_de,5.473906,3.204334,0.585,0.4621
logicb_chemistry_en,5.271587,3.077815,0.584,0.4621
logicb_chemistry_ja,7.174184,4.246307,0.592,0.4621
logicb_chemistry_zh,4.933576,2.862561,0.58,0.4621
logicb_ecology_de,6.160944,3.626604,0.589,0.4621
logicb_ecology_en,5.454132,3.188333,0.585,0.4621
logicb_ecology_ja,8.837479,5.261714,0.595,0.4621
logicb_ecology_zh,6.613967,3.904729,0.59,0.4621
logicb_education_de,6.836613,4.043153,0.591,0.4621
logicb_education_en,7.564242,4.48508,0.593,0.4621
logicb_education_ja,9.859652,5.887965,0.597,0.4621
logicb_education_zh,8.048566,4.786354,0.595,0.4621
logicb_energy_de,6.576312,3.882262,0.59,0.4621
logicb_energy_en,5.652051,3.309259,0.585,0.4621
logicb_energy_ja,7.952599,4.724043,0.594,0.4621
logicb_energy_zh,7.058663,4.180513,0.592,0.4621
logicb_finance_de,6.351663,3.748295,0.59,0.4621
logicb_finance_en,5.175765,3.018857,0.583,0.4621
logicb_finance_ja,7.055213,4.173687,0.592,0.4621
logicb_finance_zh,5.772113,3.390025,0.587,0.4621
logicb_healthcare_de,7.02859,4.1639,0.592,0.4621
logicb_healthcare_en,6.216059,3.662569,0.589,0.4621
logicb_healthcare_ja,8.26215,4.91313,0.595,0.4621
logicb_healthcare_zh,7.454142,4.421239,0.593,0.4621
logicb_history_de,6.069016,3.574752,0.589,0.4621
logicb_history_en,6.299784,3.713604,0.589,0.4621
logicb_history_ja,7.381424,4.376931,0.593,0.4621
logicb_history_zh,5.551842,3.254057,0.586,0.4621
logicb_law_de,6.346745,3.744843,0.59,0.4621
logicb_law_en,6.790889,4.015601,0.591,0.4621
logicb_law_ja,9.244653,5.509515,0.596,0.4621
logicb_law_zh,6.893984,4.079976,0.592,0.4621
logicb_manufacturing_de,6.803114,4.02533,0.592,0.4621
logicb_manufacturing_en,6.34143,3.736748,0.589,0.4621
logicb_manufacturing_ja,8.896677,5.297511,0.595,0.4621
logicb_manufacturing_zh,7.418513,4.397761,0.593,0.4621
logicb_marketing_de,5.926352,3.474432,0.586,0.4621
logicb_marketing_en,5.831835,3.407891,0.584,0.4621
logicb_marketing_ja,7.363083,4.356404,0.592,0.4621
logicb_marketing_zh,6.934537,4.094284,0.59,0.4621
logicb_network_security_de,4.227458,2.365874,0.56,0.4621
logicb_network_security_en,5.341316,3.104371,0.581,0.4621
logicb_network_security_ja,5.32144,3.072512,0.577,0.4621
logicb_network_security_zh,5.926339,3.479074,0.587,0.4621
logicb_politics_de,6.656462,3.934435,0.591,0.4621
logicb_politics_en,6.678167,3.947884,0.591,0.4621
logicb_politics_ja,9.613453,5.736034,0.597,0.4621
logicb_politics_zh,7.751328,4.603671,0.594,0.4621
logicb_psychology_de,6.609681,3.909473,0.591,0.4621
logicb_psychology_en,6.146485,3.622629,0.589,0.4621
logicb_psychology_ja,7.77453,4.61418,0.593,0.4621
logicb_psychology_zh,6.439796,3.800178,0.59,0.4621
logicb_robotics_de,5.12139,2.976865,0.581,0.4621
logicb_robotics_en,4.941818,2.852594,0.577,0.4621
logicb_robotics_ja,7.318087,4.335102,0.592,0.4621
logicb_robotics_zh,5.681458,3.297191,0.58,0.4621
logicb_software_de,6.38781,3.77464,0.591,0.4621
logicb_software_en,6.548927,3.863119,0.59,0.4621
logicb_software_ja,7.223165,4.278162,0.592,0.4621
logicb_software_zh,5.49774,3.212841,0.584,0.4621
logicb_sports_de,6.941116,4.105191,0.591,0.4621
logicb_sports_en,6.037638,3.542994,0.587,0.4621
logicb_sports_ja,8.217456,4.870138,0.593,0.4621
logicb_sports_zh,6.431828,3.794225,0.59,0.4621
logicb_transport_de,7.33293,4.348636,0.593,0.4621
logicb_transport_en,6.256286,3.685146,0.589,0.4621
logicb_transport_ja,9.14302,5.442082,0.595,0.4621
logicb_transport_zh,6.989141,4.134938,0.592,0.4621
logicb_weather_de,6.860622,4.059587,0.592,0.4621
logicb_weather_en,5.697595,3.342543,0.587,0.4621
logicb_weather_ja,6.983406,4.134495,0.592,0.4621
logicb_weather_zh,5.527617,3.23427,0.585,0.4621
logicc_abstract,6.14217,3.588888,0.584,0.4621
logicc_agriculture_de,6.112201,3.600252,0.589,0.4621
logicc_agriculture_en,5.507349,3.21977,0.585,0.4621
logicc_agriculture_ja,6.629589,3.909793,0.59,0.4621
logicc_agriculture_zh,5.904526,3.470052,0.588,0.4621
logicc_astronomy_de,7.322381,4.336376,0.592,0.4621
logicc_astronomy_en,6.397431,3.758735,0.588,0.4621
logicc_astronomy_ja,8.945521,5.320229,0.595,0.4621
logicc_astronomy_zh,7.40349,4.382726,0.592,0.4621
logicc_chemistry_de,6.567628,3.869702,0.589,0.4621
logicc_chemistry_en,5.186056,3.010597,0.581,0.4621
logicc_chemistry_ja,8.276165,4.909549,0.593,0.4621
logicc_chemistry_zh,6.887634,4.071164,0.591,0.4621
logicc_ecology_de,6.475618,3.818891,0.59,0.4621
logicc_ecology_en,5.544127,3.233902,0.583,0.4621
logicc_ecology_ja,7.002327,4.137911,0.591,0.4621
logicc_ecology_zh,5.797873,3.392235,0.585,0.4621
logicc_education_de,6.25606,3.685817,0.589,0.4621
logicc_education_en,6.629859,3.915535,0.591,0.4621
logicc_education_ja,8.154607,4.849123,0.595,0.4621
logicc_education_zh,6.255116,3.688494,0.59,0.4621
logicc_energy_de,5.621987,3.279657,0.583,0.4621
logicc_energy_en,5.866544,3.43049,0.585,0.4621
logicc_energy_ja,6.993902,4.11768,0.589,0.4621
logicc_energy_zh,6.228738,3.642299,0.585,0.4621
logicc_finance_de,6.779763,4.008542,0.591,0.4621
logicc_finance_en,6.085434,3.577337,0.588,0.4621
logicc_finance_ja,7.807791,4.63052,0.593,0.4621
logicc_finance_zh,6.890688,4.074199,0.591,0.4621
logicc_healthcare_de,6.265578,3.696399,0.59,0.4621
logicc_healthcare_en,5.694077,3.343299,0.587,0.4621
logicc_healthcare_ja,7.083322,4.196822,0.592,0.4621
logicc_healthcare_zh,5.943332,3.494783,0.588,0.4621
logicc_history_de,5.052246,2.933363,0.581,0.4621
logicc_history_en,5.102216,2.966032,0.581,0.4621
logicc_history_ja,6.890811,4.074495,0.591,0.4621
logicc_history_zh,6.353229,3.741282,0.589,0.4621
logicc_law_de,6.229801,3.67055,0.589,0.4621
logicc_law_en,6.067344,3.569384,0.588,0.4621
logicc_law_ja,7.948526,4.721468,0.594,0.4621
logicc_law_zh,6.958805,4.11595,0.591,0.4621
logicc_manufacturing_de,6.882421,4.067114,0.591,0.4621
logicc_manufacturing_en,5.779568,3.382178,0.585,0.4621
logicc_manufacturing_ja,8.27453,4.912544,0.594,0.4621
logicc_manufacturing_zh,7.807496,4.62837,0.593,0.4621
logicc_marketing_de,5.858127,3.435865,0.587,0.4621
logicc_marketing_en,6.287831,3.689267,0.587,0.4621
logicc_marketing_ja,7.350993,4.353472,0.592,0.4621
logicc_marketing_zh,6.906287,4.077093,0.59,0.4621
logicc_network_security_de,5.43373,3.170071,0.583,0.4621
logicc_network_security_en,5.65096,3.305168,0.585,0.4621
logicc_network_security_ja,7.650872,4.542425,0.594,0.4621
logicc_network_security_zh,6.265988,3.681998,0.588,0.4621
logicc_politics_de,6.532,3.848214,0.589,0.4621
logicc_politics_en,6.182838,3.638853,0.589,0.4621
logicc_politics_ja,8.784632,5.223924,0.595,0.4621
logicc_politics_zh,6.636129,3.911961,0.589,0.4621
logicc_psychology_de,6.314708,3.713621,0.588,0.4621
logicc_psychology_en,6.124542,3.591966,0.586,0.4621
logicc_psychology_ja,7.784555,4.618767,0.593,0.4621
logicc_psychology_zh,7.518685,4.456517,0.593,0.4621
logicc_robotics_de,6.464532,3.80661,0.589,0.4621
logicc_robotics_en,6.657624,3.919628,0.589,0.4621
logicc_robotics_ja,8.421592,5.010687,0.595,0.4621
logicc_robotics_zh,7.455084,4.417005,0.592,0.4621
logicc_software_de,5.992813,3.519179,0.587,0.4621
logicc_software_en,6.177172,3.628865,0.587,0.4621
logicc_software_ja,7.912831,4.698874,0.594,0.4621
logicc_software_zh,5.976794,3.495229,0.585,0.4621
logicc_sports_de,6.448179,3.799982,0.589,0.4621
logicc_sports_en,6.720832,3.964598,0.59,0.4621
logicc_sports_ja,8.871521,5.282384,0.595,0.4621
logicc_sports_zh,6.87185,4.06032,0.591,0.4621
logicc_transport_de,6.754451,3.992075,0.591,0.4621
logicc_transport_en,5.673306,3.312525,0.584,0.4621
logicc_transport_ja,8.307396,4.936573,0.594,0.4621
logicc_transport_zh,7.177701,4.249675,0.592,0.4621
logicc_weather_de,5.67717,3.329464,0.586,0.4621
logicc_weather_en,5.47281,3.20323,0.585,0.4621
logicc_weather_ja,7.430413,4.404423,0.593,0.4621
logicc_weather_zh,6.453274,3.806995,0.59,0.4621
