layer,euc_sep,hyp_sep,probe_auc,p_value
0,0.0,0.0,0.6000000000000001,1.0
1,0.015679998323321342,0.007245996501296759,0.861111111111111,0.7883225314638642
2,0.01969081163406372,0.009099463000893593,0.9277777777777777,0.7766603925283191
3,0.020037848502397537,0.00925983302295208,0.961111111111111,0.644902430507964
4,0.023932520300149918,0.011059626936912537,0.9222222222222222,0.6194692227473798
5,0.02445382997393608,0.011300534009933472,0.8944444444444445,0.9383367604634776
6,0.024467753246426582,0.01130696665495634,0.8444444444444444,0.7806926087486525
7,0.024937111884355545,0.011523867025971413,0.8388888888888889,0.8418460612416294
8,0.028815871104598045,0.01331631001085043,0.7722222222222223,0.7704758415907702
9,0.03122399002313614,0.014429141767323017,0.788888888888889,0.8110226492197115
10,0.030683187767863274,0.014179226011037827,0.8944444444444445,0.7100779089442818
11,0.02984721213579178,0.013792908750474453,0.9277777777777778,0.865251410640593
12,0.02887888066470623,0.013345429673790932,0.8277777777777778,0.9051282636891103
13,0.028197018429636955,0.01303032599389553,0.861111111111111,0.9260629422987214
14,0.03048054501414299,0.014085582457482815,0.7944444444444445,0.8123419214018697
15,0.028544995933771133,0.013191132806241512,0.788888888888889,0.8810771275302467
16,0.029946548864245415,0.013838814571499825,0.8055555555555556,0.8969901119413639
17,0.06822990626096725,0.03153020888566971,0.8111111111111111,0.4534981006873342
18,0.09076867252588272,0.04194575175642967,0.8555555555555555,0.11991784593987723
19,0.112774558365345,0.05211504548788071,0.8611111111111113,0.47733438910436643
20,0.10821070522069931,0.050006020814180374,0.85,0.638599995501477
21,0.10857035219669342,0.050172220915555954,0.8666666666666668,0.6905314996037719
22,0.10598918795585632,0.04897942394018173,0.7555555555555555,0.8406232623429881
23,0.10387720912694931,0.048003438860177994,0.7444444444444445,0.795511186476116
24,0.10015323758125305,0.04628252610564232,0.7777777777777779,0.6961870699655921
25,0.0950324609875679,0.04391612485051155,0.6833333333333333,0.5921475336365942
26,0.09256097674369812,0.0427740141749382,0.7388888888888889,0.5474815956259252
27,0.08273768424987793,0.03823450580239296,0.6722222222222223,0.6229193128806856
28,0.09732067584991455,0.044973548501729965,0.7222222222222222,0.7702855514314648
