,logicA:abstract,logicA:weather_en,logicA:weather_zh,logicA:weather_de,logicA:weather_ja,logicB:abstract,logicB:weather_en,logicB:weather_zh,logicB:weather_de,logicB:weather_ja,logicC:abstract,logicC:weather_en,logicC:weather_zh,logicC:weather_de,logicC:weather_ja
logicA:abstract,1.0,0.13435468,0.21332005,0.1039903,0.13327003,0.50072575,-0.016737454,0.08395251,-0.02278414,0.053639267,0.32878324,0.0011790209,0.108279794,0.028012123,0.10350954
logicA:weather_en,0.13435468,1.0,0.34366745,0.29062948,0.24550822,0.06716226,0.2272998,0.07848152,0.093613304,0.0678928,0.10278798,0.08894533,0.07826851,0.009945102,0.021432292
logicA:weather_zh,0.21332005,0.34366745,1.0,0.1847468,0.385121,0.056570165,0.10212193,0.21998133,0.08039007,0.19639863,0.10029359,0.050983112,0.12867981,-0.0070121773,0.07748687
logicA:weather_de,0.1039903,0.29062948,0.1847468,1.0,0.20212305,0.0010380184,0.06532269,0.06536423,0.1523464,0.093669735,0.12200014,0.094847694,0.021630727,-0.015357822,0.021650642
logicA:weather_ja,0.13327003,0.24550822,0.385121,0.20212305,1.0,0.0358252,0.037375934,0.11545866,0.07847517,0.33343148,0.07371481,0.06034775,0.05608131,0.041675605,0.23576364
logicB:abstract,0.50072575,0.06716226,0.056570165,0.0010380184,0.0358252,1.0,0.14167346,0.1526687,0.06844121,0.09643541,0.31919798,0.07153412,0.09448902,0.12339139,0.043587457
logicB:weather_en,-0.016737454,0.2272998,0.10212193,0.06532269,0.037375934,0.14167346,1.0,0.42823765,0.30671474,0.3056647,0.028455492,0.13961853,0.043455202,0.1140658,0.06733929
logicB:weather_zh,0.08395251,0.07848152,0.21998133,0.06536423,0.11545866,0.1526687,0.42823765,1.0,0.27364534,0.49862108,0.11174379,0.10375237,0.068962134,0.052914083,-0.043780487
logicB:weather_de,-0.02278414,0.093613304,0.08039007,0.1523464,0.07847517,0.06844121,0.30671474,0.27364534,1.0,0.26959088,0.044747423,0.066465326,0.018586304,0.07357768,0.01469243
logicB:weather_ja,0.053639267,0.0678928,0.19639863,0.093669735,0.33343148,0.09643541,0.3056647,0.49862108,0.26959088,1.0,0.061757267,0.07959298,0.045836337,0.08484189,0.17749643
logicC:abstract,0.32878324,0.10278798,0.10029359,0.12200014,0.07371481,0.31919798,0.028455492,0.11174379,0.044747423,0.061757267,1.0,0.106989525,0.17940308,0.11635619,0.13749602
logicC:weather_en,0.0011790209,0.08894533,0.050983112,0.094847694,0.06034775,0.07153412,0.13961853,0.10375237,0.066465326,0.07959298,0.106989525,1.0,0.37845105,0.2670167,0.22787148
logicC:weather_zh,0.108279794,0.07826851,0.12867981,0.021630727,0.05608131,0.09448902,0.043455202,0.068962134,0.018586304,0.045836337,0.17940308,0.37845105,1.0,0.14857128,0.36266112
logicC:weather_de,0.028012123,0.009945102,-0.0070121773,-0.015357822,0.041675605,0.12339139,0.1140658,0.052914083,0.07357768,0.08484189,0.11635619,0.2670167,0.14857128,1.0,0.20902725
logicC:weather_ja,0.10350954,0.021432292,0.07748687,0.021650642,0.23576364,0.043587457,0.06733929,-0.043780487,0.01469243,0.17749643,0.13749602,0.22787148,0.36266112,0.20902725,1.0
