condition,pair_idx,kappa_euclidean,kappa_poincare,p_e_ratio
truth,0,1.3508437338189105,0.12448797476837163,0.09215571842380109
truth,1,1.350452036540011,0.12338479015963069,0.09136554784704126
truth,2,1.3758743305218384,0.16282664018003293,0.1183441224012635
truth,3,1.3485704691414238,0.10479185904748294,0.07770588296672354
truth,4,1.5105867352637368,0.1404896463048055,0.09300336288222279
truth,5,1.3429423725878764,0.12952184231151415,0.09644631441773857
truth,6,1.3955053874443932,0.18622442038280704,0.13344586273783018
truth,7,1.3789511555890923,0.14377825644744835,0.1042663881637097
truth,8,1.4367906994763622,0.21607447132704574,0.15038688057056188
truth,9,1.3750932858624123,0.10492152539102706,0.07630138730931539
truth,10,1.3542788145355218,0.12885889876409087,0.09514946064358669
truth,11,1.478584653120611,0.2609012701098583,0.17645338706797473
truth,12,1.457751879043395,0.14115228614745176,0.0968287458082912
truth,13,1.3903474630745334,0.11249589006138604,0.08091206914034221
truth,14,1.4137471177724377,0.09535049037402257,0.06744522353068419
truth,15,1.378640795904542,0.11208107180568573,0.08129824109270468
truth,16,1.3392148089441247,0.12434251046248856,0.09284732339580665
truth,17,1.5474620313432381,0.3060780970603792,0.19779360711984337
truth,18,1.367647542257302,0.13042437557208364,0.09536402584895391
truth,19,1.4431858282833616,0.19084570521666094,0.13223917632538548
truth,20,1.4115680093368437,0.11210720872861941,0.0794203382246439
truth,21,1.4906165952131103,0.19234730089377838,0.12903874914010258
truth,22,1.3529508267909425,0.11225853384567853,0.08297310709506273
truth,23,1.3538990231738421,0.12172399580118236,0.08990625867786955
truth,24,1.5434803458473652,0.330601561431183,0.2141922715897519
truth,25,1.363418063166365,0.13688742791680736,0.10040018657146416
truth,26,1.4378930620732207,0.22658265270911437,0.15757962722374988
truth,27,1.4368429554925493,0.17753445682456315,0.12355870636099155
truth,28,1.520062259562646,0.3874716465377038,0.2549051159583342
truth,29,1.3608049428509623,0.12878915846718794,0.09464189496355552
lie,0,1.4087886357656452,0.1610159630620352,0.11429391107667944
lie,1,1.3394414080312278,0.12176317213032399,0.09090593392158682
lie,2,1.3493116554241946,0.12129821819260263,0.08989636879292284
lie,3,1.363897309933974,0.12448083836525849,0.09126848294120074
lie,4,1.3736480188758986,0.12397693443599174,0.09025378607355773
lie,5,1.2927799334719547,0.11938050359155804,0.09234402584741841
lie,6,1.3203890304782515,0.12163819850061419,0.09212299988326639
lie,7,1.4157159828600405,0.15806079854928132,0.11164725161184212
lie,8,1.3812919059209687,0.13432822664808472,0.09724825438582595
lie,9,1.365549569991363,0.11263688188644151,0.08248465259826045
lie,10,1.353444320749437,0.1218402158947114,0.09002233341024722
lie,11,1.4255328406946408,0.14843970343977547,0.10412927657804294
lie,12,1.3825997752445205,0.08964864169374971,0.06484063088893158
lie,13,1.3552934304311977,0.12669425978283524,0.09348105505279874
lie,14,1.3365702355457139,0.12697561915792727,0.09500108245795542
lie,15,1.3837859451763477,0.10490270691047672,0.07580847838218799
lie,16,1.3101249727683064,0.12199537755502664,0.09311735909991034
lie,17,1.4103166042306767,0.13217060062213928,0.0937169712287674
lie,18,1.3507060099562267,0.12426674505204909,0.09200132681432008
lie,19,1.4646258362209341,0.09507448162953973,0.06491383620191583
lie,20,1.4026519595955693,0.23009969424977866,0.16404617886544284
lie,21,1.374301088263825,0.09013057142411152,0.06558284221252769
lie,22,1.3282335048086362,0.12193101642352597,0.0917993831522064
lie,23,1.393960125404286,0.15570432192597403,0.11169926534363067
lie,24,1.3771496114658608,0.11172138873201817,0.08112509185773947
lie,25,1.3428539426359987,0.12405911997970057,0.09238467121463313
lie,26,1.356628000011737,0.1293458769935721,0.0953436586834807
lie,27,1.3938436766655549,0.10942717762791772,0.07850749654344069
lie,28,1.4425820160374128,0.131482834178252,0.09114409629160526
lie,29,1.3930000476684354,0.11440743367593166,0.08213024390589478
