condition,pair_idx,kappa_euclidean,kappa_poincare,p_e_ratio
truth,0,1.4072397332563213,0.13608348831990544,0.09670242042200676
truth,1,1.2895604225319341,0.12970202766401015,0.10057848038586052
truth,2,1.3764370910149084,0.16857634560584958,0.1224729751227139
truth,3,1.3067968902665108,0.13205052371469156,0.10104900363495731
truth,4,1.3681539907562723,0.11246264322325361,0.08220028153489346
truth,5,1.3326379788917733,0.11250004311414016,0.08441905821091458
truth,6,1.424124720684384,0.27450456815287877,0.19275317966600677
truth,7,1.3776834373270017,0.09033148494823862,0.06556766416783007
truth,8,1.3609871772384448,0.10999428785401155,0.08081948874580805
truth,9,1.4511797553904986,0.20196003957810263,0.13916955416991544
truth,10,1.318623257466032,0.12610191040343352,0.09563149268712329
truth,11,1.3800205099897944,0.17379487405035934,0.12593644282261038
truth,12,1.323899902820228,0.1296645304303699,0.09794133994129993
truth,13,1.5528536306958765,0.3887576629986097,0.25035048720232356
truth,14,1.3460904579500554,0.0725817011564295,0.05392037416784254
truth,15,1.4381507730824408,0.056044081485633,0.03896954515103565
truth,16,1.3725834646124846,0.16069192065907992,0.11707260418181371
truth,17,1.4183090772409013,0.09539307652690013,0.06725831347880284
truth,18,1.3840351395604562,0.13236908826915242,0.09563997653353684
truth,19,1.3089181354717867,0.1049188245187188,0.08015690338105204
truth,20,1.3011865981422606,0.10998319311686836,0.08452530426757726
truth,21,1.356891919914077,0.22649886080307682,0.16692476200862005
truth,22,1.2975638311923052,0.12967521066918147,0.09993744242240903
truth,23,1.297808299784162,0.12439002567345879,0.0958462245110823
truth,24,1.3485767064643401,0.09768286902482728,0.07243404736014568
truth,25,1.5568396343395645,0.3149078145884217,0.20227376516015438
truth,26,1.5116331193049455,0.3676313795638647,0.24320145865347473
truth,27,1.5284445235629833,0.37042882922147946,0.24235673818109305
truth,28,1.337574609270556,0.18011651940418766,0.13465904492790415
truth,29,1.3178105771153585,0.11501591457018374,0.08727803264559432
lie,0,1.3485729113580798,0.10738058198607361,0.0796253440074931
lie,1,1.4440385879326108,0.17340672325264647,0.12008454947239879
lie,2,1.3645188898345002,0.11480537294226698,0.0841361550928705
lie,3,1.397397694767857,0.16710783485011252,0.11958502255714208
lie,4,1.4044772144936588,0.09518054244803471,0.06776937458707662
lie,5,1.4039309266683586,0.1777009474475249,0.12657385350803804
lie,6,1.4118577034777455,0.1743641347589729,0.12349979344906505
lie,7,1.4471081263563799,0.23798791737688454,0.16445759169088875
lie,8,1.4565175301332156,0.2663851987543755,0.18289185900152635
lie,9,1.4330907570195641,0.12493601768116987,0.08717941768112616
lie,10,1.3536236156929016,0.14272165249739313,0.10543673355191566
lie,11,1.502350164928579,0.34442525937298096,0.22925764406552632
lie,12,1.5810366235798903,0.38000601269936135,0.24035244157654362
lie,13,1.3540998429487416,0.0852717882796843,0.0629730434751348
lie,14,1.4259859813395395,0.0732136113891211,0.05134244820579923
lie,15,1.3587348891716076,0.0947642517368035,0.06974447516732223
lie,16,1.3745322321383984,0.20158103711201672,0.14665428165217445
lie,17,1.4086106429066623,0.0955644211912668,0.06784303503065263
lie,18,1.4888526477931365,0.31499031084808093,0.21156580627033694
lie,19,1.503067091172569,0.25505303690467657,0.16968839142483336
lie,20,1.4939848595921956,0.28187700793406856,0.1886746081289009
lie,21,1.4274493726726851,0.0776005795589247,0.05436310460078121
lie,22,1.3485448225125694,0.13154777501897236,0.09754794414165366
lie,23,1.3051118102596158,0.11938050359155804,0.09147147597094428
lie,24,1.4527354776013621,0.09242420978844049,0.06362081136824976
lie,25,1.4197819930190634,0.11471175749795812,0.08079533200307175
lie,26,1.3366230635934175,0.1243907836417574,0.09306347244027159
lie,27,1.473217745036841,0.21073714443702127,0.14304548336250952
lie,28,1.4696404942847099,0.14286393022831145,0.09721012096760773
lie,29,1.3603538229134717,0.19525383653996156,0.14353165569953422
