layer,euc_separation,hyp_separation,cos_separation,mean_cos_sim,p_norm,p_cos,probe_euc_acc,probe_euc_auc,probe_hyp_acc,probe_hyp_auc
0,0.0,0.0,0.0,1.0,1.0,,0.6,0.6000000000000001,0.6,0.6000000000000001
1,0.07065567374229431,0.11756439956413102,0.0024990816600620747,0.9975578784942627,0.6149714622666371,7.378695826758522e-15,0.7666666666666668,0.9055555555555557,0.7666666666666668,0.9055555555555557
2,0.08512623608112335,0.1417161077106095,0.003627489088103175,0.9965085983276367,0.27106883807300386,5.5033782961436844e-15,0.8166666666666667,0.9,0.8166666666666667,0.9
3,0.07914817333221436,0.1317335880223801,0.003133895108476281,0.9970107078552246,0.03546646924916017,1.9295463506312004e-10,0.7333333333333334,0.8944444444444445,0.7333333333333334,0.8944444444444445
4,0.09014173597097397,0.15009619236895216,0.004066427703946829,0.9961669445037842,0.006064084514382278,6.3523208196449796e-06,0.7833333333333333,0.9055555555555556,0.7833333333333333,0.9055555555555556
5,0.09829330444335938,0.16372845716919077,0.004838035441935062,0.995467483997345,1.5347080190785698e-09,1.526688782607827e-05,0.6833333333333333,0.85,0.6833333333333333,0.85
6,0.16665823757648468,0.2787834440066081,0.01390876341611147,0.9864513874053955,0.10997816516352517,9.081687731317601e-22,0.6333333333333334,0.8,0.6333333333333334,0.8
7,0.2548633813858032,0.4301312666296384,0.03254422917962074,0.9682320952415466,3.0018003934727293e-05,3.484451497916382e-30,0.75,0.8444444444444444,0.75,0.8444444444444444
8,0.24849240481853485,0.41902321040233864,0.030886350199580193,0.9702911376953125,0.1240265844828197,5.868934467900692e-30,0.7333333333333333,0.8277777777777778,0.7333333333333333,0.8277777777777778
9,0.3074788749217987,0.5226208683376286,0.0472930446267128,0.9545375108718872,1.579854557564412e-09,1.0964266489142914e-41,0.7,0.85,0.7,0.85
10,0.45137256383895874,0.7888419271527379,0.10199721902608871,0.9009571075439453,0.0007009882394435774,1.7922406448242697e-54,0.6666666666666667,0.8055555555555556,0.6666666666666667,0.8055555555555556
11,0.5074626803398132,0.8997393096572293,0.12889248132705688,0.8773367404937744,0.01079689866964943,1.5949091169686228e-51,0.6,0.6833333333333333,0.6,0.6833333333333333
12,0.5680071711540222,1.0257067769007782,0.1615029275417328,0.845988392829895,3.8937377830134426e-13,2.241920872153986e-57,0.5,0.5666666666666667,0.5,0.5666666666666667
13,0.4884933829307556,0.8617610168101766,0.11949560046195984,0.8884395956993103,1.3872768212150514e-18,2.0299748497864756e-57,0.4666666666666667,0.5833333333333334,0.4666666666666667,0.5833333333333334
14,0.5598057508468628,1.008379486623702,0.1569463163614273,0.8534801602363586,2.437513411855928e-30,2.2910096890708646e-55,0.6166666666666667,0.6944444444444444,0.6166666666666667,0.6944444444444444
15,0.57861328125,1.0486619102405894,0.16763900220394135,0.8429752588272095,1.8697297032041105e-25,6.25530568248519e-54,0.6333333333333333,0.7444444444444445,0.6333333333333333,0.7444444444444445
16,0.5917676091194153,1.0774494514196795,0.17539240419864655,0.8351441621780396,4.81469644418536e-38,5.83376804997771e-53,0.5333333333333334,0.6722222222222222,0.5333333333333334,0.6722222222222222
17,0.575090765953064,1.0411314505794569,0.16564513742923737,0.8455579280853271,4.445489309977913e-37,6.529739982032582e-52,0.5666666666666667,0.6777777777777777,0.5666666666666667,0.6777777777777777
18,0.571472704410553,1.0334522935455233,0.16362206637859344,0.8481419086456299,2.4241665630664075e-26,6.896498600991958e-48,0.6333333333333333,0.7944444444444445,0.6333333333333333,0.7944444444444445
19,0.5552796721458435,0.9988997028315311,0.1544804871082306,0.858107328414917,1.0802047435038354e-32,5.796894919328139e-42,0.6166666666666666,0.7777777777777779,0.6166666666666666,0.7777777777777779
20,0.5848931074142456,1.0626699295100215,0.17146113514900208,0.8424023985862732,4.456688165616931e-34,1.28633994917256e-42,0.65,0.8111111111111111,0.65,0.8111111111111111
21,0.6123514771461487,1.1234752154604066,0.18791824579238892,0.8261100053787231,1.3205197489263306e-25,4.3163315484689677e-42,0.6166666666666667,0.7555555555555555,0.6166666666666667,0.7555555555555555
22,0.6184831857681274,1.1371062576809712,0.19161613285541534,0.822364091873169,1.800578110279959e-25,1.9714142022464882e-42,0.6166666666666667,0.7611111111111112,0.6166666666666667,0.7611111111111112
23,0.6145543456077576,1.128284317482506,0.1892082244157791,0.8251705765724182,6.337714212050615e-19,6.157587911138087e-41,0.5833333333333333,0.7388888888888888,0.5833333333333333,0.7388888888888888
24,0.6151789426803589,1.1296177153632683,0.18956297636032104,0.8244011402130127,4.332673775424225e-16,4.2541413223060866e-40,0.55,0.6944444444444444,0.55,0.6944444444444444
25,0.5889991521835327,1.0714029515392107,0.17376430332660675,0.8402241468429565,7.630352555856862e-18,1.6165970861116823e-37,0.55,0.7444444444444445,0.55,0.7444444444444445
26,0.5950578451156616,1.0847600122468046,0.17737360298633575,0.8367481827735901,1.3709940183018682e-16,5.52166590578727e-37,0.6166666666666666,0.7555555555555556,0.6166666666666666,0.7555555555555556
27,0.5872780084609985,1.0677214669834714,0.17278438806533813,0.841485321521759,2.6857151045478518e-11,8.100653821415591e-38,0.7000000000000001,0.7944444444444444,0.7000000000000001,0.7944444444444444
28,0.5902493596076965,1.074194799743584,0.17452393472194672,0.8402127027511597,3.2478347142932064e-06,3.7186326841768232e-37,0.6333333333333334,0.7666666666666666,0.6333333333333334,0.7666666666666666
29,0.6045500040054321,1.1056633851166522,0.18302255868911743,0.833454966545105,1.2818676223858657e-05,3.073636536240878e-35,0.6166666666666667,0.7555555555555556,0.6166666666666667,0.7555555555555556
30,0.6057256460189819,1.108229173423452,0.18371206521987915,0.8331719040870667,0.02565533072864757,6.660732116536623e-35,0.5833333333333333,0.7111111111111111,0.5833333333333333,0.7111111111111111
31,0.6277791261672974,1.1580913661282328,0.19734525680541992,0.8199828267097473,0.7250857429431173,3.4488111233956753e-35,0.6333333333333333,0.7777777777777778,0.6333333333333333,0.7777777777777778
32,0.7258008122444153,1.397945497056751,0.2638290822505951,0.7481909394264221,7.689102045199887e-13,5.710149858303868e-35,0.65,0.8333333333333334,0.65,0.8333333333333334
