layer,euc_separation,hyp_separation,cos_separation,mean_cos_sim,p_norm,p_cos,probe_euc_acc,probe_euc_auc,probe_hyp_acc,probe_hyp_auc
0,0.0,0.0,1.7881393432617188e-07,1.0,1.0,,0.6,0.6000000000000001,0.6,0.6000000000000001
1,0.06801135092973709,0.11315468732510109,0.00231419806368649,0.9977877140045166,5.192258165198647e-32,2.0095942870332917e-30,0.7666666666666668,0.9166666666666667,0.7666666666666668,0.9166666666666667
2,0.06957259029150009,0.11575836390519317,0.002424130914732814,0.9977612495422363,9.475629079872553e-08,2.962818661639076e-33,0.7166666666666667,0.8500000000000002,0.7166666666666667,0.8500000000000002
3,0.07973995059728622,0.132721972918674,0.0031838377472013235,0.9970051050186157,5.411693979418048e-16,1.8636379750813273e-24,0.65,0.8277777777777778,0.65,0.8277777777777778
4,0.09657049179077148,0.1608454334940623,0.004666449502110481,0.9956445097923279,2.4964162150018984e-11,1.8714979676602277e-26,0.7333333333333334,0.8555555555555555,0.7333333333333334,0.8555555555555555
5,0.12809151411056519,0.2136977871716622,0.008210482075810432,0.9921339750289917,5.947675981287924e-19,4.237611304342625e-24,0.7,0.7944444444444444,0.7,0.7944444444444444
6,0.16812452673912048,0.2812627484465586,0.014139366336166859,0.9862071871757507,0.0020015015550117793,1.843354166310345e-38,0.65,0.7611111111111111,0.65,0.7611111111111111
7,0.2069631665945053,0.347431539562736,0.021434420719742775,0.979045569896698,5.393018512559104e-29,7.07985083931308e-42,0.6166666666666666,0.7611111111111112,0.6166666666666666,0.7611111111111112
8,0.22116097807884216,0.3718012537539268,0.02447548136115074,0.9763067364692688,6.362682500701184e-31,1.3145674757118296e-44,0.6,0.7666666666666666,0.6,0.7666666666666666
9,0.2676638662815094,0.4524350485871818,0.03585056588053703,0.965558648109436,1.6859848380485766e-34,1.2205152605498388e-41,0.6166666666666667,0.7944444444444444,0.6166666666666667,0.7944444444444444
10,0.2893269956111908,0.49058931869166705,0.04203039035201073,0.9598479270935059,1.506790392612749e-12,2.0339262884034226e-39,0.65,0.8277777777777778,0.65,0.8277777777777778
11,0.2982628047466278,0.5064029282663917,0.044675905257463455,0.9578289985656738,3.029188428017401e-32,9.116599776001798e-38,0.6666666666666667,0.7944444444444445,0.6666666666666667,0.7944444444444445
12,0.32320091128349304,0.5508590209864163,0.05245990678668022,0.9502826929092407,6.277502231009997e-34,2.4405313868530682e-40,0.6500000000000001,0.8166666666666668,0.6500000000000001,0.8166666666666668
13,0.3812524974346161,0.6564554435780257,0.07290232926607132,0.9299519062042236,2.0339671255222552e-48,1.499852951378321e-43,0.6,0.8111111111111111,0.6,0.8111111111111111
14,0.48119375109672546,0.847201187766394,0.11591256409883499,0.886817455291748,2.6312176009626293e-41,9.597762041575309e-58,0.5666666666666667,0.7222222222222222,0.5666666666666667,0.7222222222222222
15,0.5486971139907837,0.9845135221951652,0.1505875289440155,0.853110671043396,0.0003112174731390697,9.398287888327113e-74,0.6333333333333333,0.8,0.6333333333333333,0.8
16,0.5478699207305908,0.9827863665436881,0.15013760328292847,0.8545367121696472,1.6698200173108478e-13,9.649542837235717e-72,0.5999999999999999,0.7555555555555558,0.5999999999999999,0.7555555555555558
17,0.5797780156135559,1.050715612789505,0.1681092381477356,0.8373528718948364,4.5536256751730084e-33,1.3058182814317064e-74,0.5666666666666667,0.6666666666666667,0.5666666666666667,0.6666666666666667
18,0.5978280305862427,1.0901971217746955,0.17874997854232788,0.827852189540863,2.363657224922458e-43,5.841606653844387e-75,0.4833333333333334,0.6,0.4833333333333334,0.6
19,0.5643002986907959,1.017487152097402,0.1592608541250229,0.8493573665618896,5.828131857878075e-48,1.1342839921522503e-66,0.5666666666666667,0.7166666666666668,0.5666666666666667,0.7166666666666668
20,0.5986120700836182,1.0924918416863496,0.179451122879982,0.8352782130241394,4.00748665817679e-43,1.457711060345734e-57,0.6,0.7277777777777779,0.6,0.7277777777777779
21,0.6163435578346252,1.1321461211959787,0.19024695456027985,0.8306349515914917,4.226202750110003e-44,3.1490148181415033e-53,0.6,0.7166666666666667,0.6,0.7166666666666667
22,0.6133028268814087,1.1260633779731646,0.18867889046669006,0.8383302688598633,2.649088290466102e-48,8.155535025675992e-46,0.5833333333333333,0.7055555555555556,0.5833333333333333,0.7055555555555556
23,0.6267843842506409,1.1574032299788628,0.19729532301425934,0.8380904197692871,2.5680713702912987e-44,9.103913791043056e-40,0.55,0.7055555555555555,0.55,0.7055555555555555
24,0.6405090093612671,1.1895529291319766,0.20614132285118103,0.83304363489151,1.1403545472238788e-39,6.346356741913335e-40,0.5166666666666667,0.6277777777777779,0.5166666666666667,0.6277777777777779
25,0.5971231460571289,1.0909760229040544,0.17929577827453613,0.8584020137786865,8.223665703038819e-35,1.4852501895029345e-39,0.5,0.611111111111111,0.5,0.611111111111111
26,0.5689785480499268,1.0294028472082943,0.162800595164299,0.8739341497421265,7.225846722500033e-27,1.2686047749958408e-39,0.4333333333333333,0.6333333333333334,0.4333333333333333,0.6333333333333334
27,0.5115403532981873,0.9090660100224859,0.1315813511610031,0.9001359343528748,4.1907838285014404e-23,4.412485755974044e-40,0.4666666666666667,0.5944444444444444,0.4666666666666667,0.5944444444444444
28,0.6645532250404358,1.2472094911413678,0.22204965353012085,0.8242976665496826,2.2273333583646274e-21,2.9544953197097896e-40,0.4666666666666667,0.6777777777777778,0.4666666666666667,0.6777777777777778
