layer,euc_separation,hyp_separation,cos_separation,mean_cos_sim,p_norm,p_cos,probe_euc_acc,probe_euc_auc,probe_hyp_acc,probe_hyp_auc
0,0.0,0.0,0.0,1.0,1.0,,0.5025000000000001,0.5196250000000001,0.5025000000000001,0.5196250000000001
1,0.0916038453578949,0.15254022237752654,0.004199845250695944,0.995900571346283,7.950168419907107e-08,6.377313591988754e-38,1.0,1.0,1.0,1.0
2,0.10364172607660294,0.17268042413690965,0.00537734292447567,0.9948861598968506,9.787756966217736e-14,3.0362915488897345e-23,1.0,1.0,1.0,1.0
3,0.0918593481183052,0.15296750662552405,0.004223906435072422,0.9960454702377319,7.578885352414315e-17,1.0677528176887385e-19,1.0,1.0,1.0,1.0
4,0.10465642809867859,0.17437982995434126,0.005484012421220541,0.994931697845459,1.320701292678564e-19,1.5666333346803303e-11,1.0,1.0,1.0,1.0
5,0.10939045250415802,0.18231284553905824,0.005999772343784571,0.9944561719894409,1.9842145423448037e-42,9.507934208511768e-14,1.0,1.0,1.0,1.0
6,0.19235336780548096,0.3224717532129924,0.018539277836680412,0.9820581674575806,0.0051577495867735764,2.1125222620306585e-87,1.0,1.0,1.0,1.0
7,0.2874928414821625,0.4873391274497905,0.04148098826408386,0.9598369598388672,5.2569214093253524e-08,2.5887946394790805e-156,1.0,1.0,1.0,1.0
8,0.28350579738616943,0.48023139060002,0.04022793844342232,0.9618346095085144,0.8354337917812364,8.363914325472531e-163,1.0,1.0,1.0,1.0
9,0.3613315224647522,0.6196457747153336,0.06530694663524628,0.9374469518661499,1.981692226875629e-39,3.8508254435394775e-264,1.0,1.0,1.0,1.0
10,0.570899248123169,1.0318015163801777,0.16310058534145355,0.8403975963592529,3.9129136378922315e-16,0.0,1.0,1.0,1.0,1.0
11,0.6336100697517395,1.1710410586006725,0.2008722871541977,0.8060788512229919,0.7020796041069304,0.0,1.0,1.0,1.0,1.0
12,0.6969294548034668,1.3228444415890035,0.24299177527427673,0.7654809951782227,5.745979011269978e-74,0.0,1.0,1.0,1.0,1.0
13,0.6323642730712891,1.168110887144332,0.20005817711353302,0.8099194765090942,1.086511552824671e-43,0.0,1.0,1.0,1.0,1.0
14,0.7643415927886963,1.5004725970398305,0.29219692945480347,0.7195587158203125,8.85420850293163e-89,0.0,1.0,1.0,1.0,1.0
15,0.7427951693534851,1.4416635790375991,0.2759922444820404,0.7395223379135132,3.212754103426716e-32,0.0,1.0,1.0,1.0,1.0
16,0.7302847504615784,1.408314503817695,0.26676130294799805,0.7473999261856079,1.726778429600478e-163,1.6028764e-317,1.0,1.0,1.0,1.0
17,0.7248066663742065,1.3939373939222606,0.2627716362476349,0.7497398853302002,4.144684742561992e-27,1.63499153025393e-307,1.0,1.0,1.0,1.0
18,0.728381335735321,1.4034696690387298,0.2654085159301758,0.7550866603851318,7.978408185634487e-06,2.8166182052250045e-232,1.0,1.0,1.0,1.0
19,0.7365791201591492,1.4252180973173507,0.27143236994743347,0.752590000629425,3.768882896807559e-05,1.1280509520384196e-197,1.0,1.0,1.0,1.0
20,0.7602395415306091,1.4896862389366938,0.28919079899787903,0.7341910600662231,9.154994155456788e-13,1.3022666888394954e-211,1.0,1.0,1.0,1.0
21,0.7870739698410034,1.566120917888792,0.30999335646629333,0.715341329574585,2.3383333459508237e-63,2.8031533913196945e-183,1.0,1.0,1.0,1.0
22,0.8098359704017639,1.6342618859375768,0.3282201290130615,0.7007832527160645,3.0110239385511326e-29,6.615839138889526e-187,1.0,1.0,1.0,1.0
23,0.8188015818595886,1.6632191552148379,0.33571431040763855,0.6980651021003723,1.0567462321908858e-11,3.898014642435404e-161,1.0,1.0,1.0,1.0
24,0.8374993801116943,1.726022063168954,0.3516431152820587,0.6890906095504761,2.97599914368766e-06,5.018997695373949e-139,0.9949999999999999,1.0,0.9949999999999999,1.0
25,0.8193532824516296,1.6719071572491613,0.33716559410095215,0.7144161462783813,4.2056056388310476e-05,1.8158420814739682e-115,1.0,1.0,1.0,1.0
26,0.8330592513084412,1.7187640321733522,0.3488558232784271,0.7060152292251587,0.3355807900422383,9.185620010528445e-111,1.0,1.0,1.0,1.0
27,0.8065804839134216,1.6371801413229532,0.32753315567970276,0.7354395389556885,0.047411011740112856,3.181543183762449e-102,1.0,1.0,1.0,1.0
28,0.8042559027671814,1.6310995309905036,0.3258648216724396,0.7393642067909241,0.24565962106316644,2.8564502558721293e-104,1.0,1.0,1.0,1.0
29,0.8122920393943787,1.6581194302309124,0.33262237906455994,0.7371772527694702,0.018825739504043024,3.7321138634814753e-85,1.0,1.0,1.0,1.0
30,0.8042036294937134,1.6343978821479428,0.32638439536094666,0.7480133771896362,3.8187048582690165e-07,7.837306114237778e-70,1.0,1.0,1.0,1.0
31,0.8353303670883179,1.7321294030812422,0.35160568356513977,0.7226574420928955,1.4149007399632773e-18,1.5106437513765406e-75,1.0,1.0,1.0,1.0
32,0.9633915424346924,2.2502237396712728,0.4672505557537079,0.5726807117462158,2.5136236587624656e-26,1.3029990391429988e-144,1.0,1.0,1.0,1.0
