layer,euc_separation,hyp_separation,cos_separation,mean_cos_sim,p_norm,p_cos,probe_euc_acc,probe_euc_auc,probe_hyp_acc,probe_hyp_auc
0,0.0,0.0,1.7881393432617188e-07,1.0,1.0,1.0,0.49749999999999994,0.5196250000000001,0.5025000000000001,0.5196250000000001
1,0.08763714134693146,0.14591182274213144,0.0038493957836180925,0.9963186979293823,3.114553084407858e-97,3.0518599559786494e-88,1.0,1.0,1.0,1.0
2,0.085050068795681,0.14159077377825838,0.0036306502297520638,0.9966491460800171,6.122364821880538e-89,3.629254685590579e-87,1.0,1.0,1.0,1.0
3,0.10581193119287491,0.17631798053784556,0.0056175244972109795,0.9946738481521606,6.9878848088007374e-34,2.0151752436322882e-111,1.0,1.0,1.0,1.0
4,0.12289592623710632,0.2049720535865144,0.007573529612272978,0.9928854703903198,0.0002344193711213038,3.658906264718019e-116,1.0,1.0,1.0,1.0
5,0.16609932482242584,0.27784897749574916,0.013848287053406239,0.986831545829773,1.1582760632183635e-81,8.181756437518683e-156,1.0,1.0,1.0,1.0
6,0.2100898176431656,0.35279813408245475,0.022104308009147644,0.978573203086853,7.644699769103303e-27,3.273101519955332e-261,1.0,1.0,1.0,1.0
7,0.2523571252822876,0.4257485766769693,0.031871967017650604,0.969001293182373,8.177243757145334e-169,2.763761623890928e-277,1.0,1.0,1.0,1.0
8,0.2781911790370941,0.470871937115798,0.03871116042137146,0.9628376364707947,9.7720540774397e-188,5.968169114201687e-303,1.0,1.0,1.0,1.0
9,0.3582702577114105,0.6140798553176047,0.06422791630029678,0.9389252662658691,1.411346438070929e-185,1.8300515433243378e-306,1.0,1.0,1.0,1.0
10,0.412639856338501,0.7148071660276591,0.08518127351999283,0.9177173376083374,2.175483079119685e-10,0.0,1.0,1.0,1.0,1.0
11,0.4142225682735443,0.7177805024886607,0.08582769334316254,0.9181746244430542,2.3093827504229155e-47,0.0,1.0,1.0,1.0,1.0
12,0.4120104908943176,0.7136154268471064,0.08491594344377518,0.919927179813385,5.0185128920850764e-64,0.0,1.0,1.0,1.0,1.0
13,0.4842650890350342,0.8531450875423511,0.11730469763278961,0.887901246547699,5.560370005979727e-169,0.0,1.0,1.0,1.0,1.0
14,0.5574688911437988,1.0030274303730828,0.1554514765739441,0.8494045734405518,2.2463717915381314e-214,0.0,1.0,1.0,1.0,1.0
15,0.5905980467796326,1.0742897340063828,0.17444874346256256,0.8318675756454468,2.238241008720943e-46,0.0,1.0,1.0,1.0,1.0
16,0.5769885778427124,1.0446866003160966,0.16649632155895233,0.8411961793899536,6.633323177710858e-10,0.0,1.0,1.0,1.0,1.0
17,0.6420220732688904,1.1902490664909378,0.20615024864673615,0.8024749755859375,1.2990335619678942e-94,0.0,1.0,1.0,1.0,1.0
18,0.6305413246154785,1.1638085321956657,0.19886428117752075,0.8129719495773315,4.138291789604661e-76,0.0,1.0,1.0,1.0,1.0
19,0.6088559031486511,1.1148473413106728,0.18546779453754425,0.8309172987937927,2.3146324972444452e-96,0.0,1.0,1.0,1.0,1.0
20,0.5900906920433044,1.0739260242897937,0.17445629835128784,0.8455183506011963,2.417362638426776e-116,7.604773615227902e-250,1.0,1.0,1.0,1.0
21,0.6099498271942139,1.1191613332093382,0.1868344247341156,0.8395584225654602,1.7253027201477712e-148,5.849754889298222e-200,1.0,1.0,1.0,1.0
22,0.5985046029090881,1.094423676984962,0.18022632598876953,0.8476830124855042,3.0361418285640306e-123,1.5949286739280158e-114,1.0,1.0,1.0,1.0
23,0.5797836780548096,1.0553959044256325,0.169952392578125,0.8667564392089844,2.991772543418441e-116,2.1546175783601182e-60,1.0,1.0,1.0,1.0
24,0.5567511320114136,1.0067072866910953,0.15725049376487732,0.8865441083908081,8.740424890652538e-92,6.822924416094649e-39,1.0,1.0,1.0,1.0
25,0.5249568819999695,0.9422732359037593,0.14104421436786652,0.9179795980453491,2.645028311539654e-66,4.5185193400923705e-25,0.9974999999999999,1.0,0.9974999999999999,1.0
26,0.5122417211532593,0.9171129700795106,0.13518379628658295,0.9335520267486572,3.520930248409704e-36,2.0558916375445097e-19,0.9949999999999999,1.0,0.9949999999999999,1.0
27,0.4791516959667206,0.8506490901525808,0.11921203881502151,0.9529552459716797,3.2404155234015356e-33,1.6160826833470922e-17,0.9974999999999999,1.0,0.9974999999999999,1.0
28,0.5473780035972595,0.9905322199295523,0.15421243011951447,0.9220708608627319,0.1273393469991768,2.5296037601968664e-33,0.9949999999999999,0.9998750000000001,0.9949999999999999,0.9998750000000001
